CenterID,DeviceID,Model,Code Name,Serial Number,ERPID,Protocol,Black,Cyan,Magenta,Yellow,Special Color,Special Color Gage,Customer,Sales Office,Service Office,Latest Receive Date,Device Host Name,Device Location,Toner Replacement Date (Black),Toner Replacement Date (Cyan),Toner Replacement Date (Magenta),Toner Replacement Date (Yellow),Toner Replacement Date (Special Color)
GB500,A93E321000298,ineo+3350i_Ver23,Sparrow_MFP,A93E321000298,,HTTP1,11,85,37,1,,,Tomlinscote School,Elmdale Maintenance,Elmdale Maintenance,2025.10.06 11:29:03,,,2025.09.04 14:31:02,2025.09.23 7:21:55,,2025.09.05 9:22:43,
GB500,A93E321000148,ineo+3350i_Ver20,Sparrow_MFP,A93E321000148,,HTTP1,63,15,100,43,,,Tomlinscote School,Elmdale Maintenance,Elmdale Maintenance,2025.10.06 11:25:06,,,2025.07.04 6:19:08,,2025.10.02 10:32:28,2025.03.28 9:51:25,
GB500,AAJN021216552,bizhub C4050i_Ver22,Sparrow_MFP,AAJN021216552,,HTTP1,69,80,87,89,,,Howden Insurance (C&C),Elmdale Maintenance,Elmdale Maintenance,2025.10.06 11:04:08,,,,,,,
GB500,ADXK021007128,bizhub C301i,EagleIII,ADXK021007128,,HTTP1,29,78,80,73,,,Howden Insurance (Mortgage and Debt Advisory),Elmdale Maintenance,Elmdale Maintenance,2025.10.06 10:58:51,,,,,,,
GB500,A93E321000886,bizhub C3350i_Ver23,Sparrow_MFP,A93E321000886,,HTTP1,27,24,33,53,,,Howden Insurance (C&LC),Elmdale Maintenance,Elmdale Maintenance,2025.10.06 10:35:56,,,2025.04.07 9:42:11,2025.03.05 9:16:58,,,
GB500,AA2K021060847,bizhub C300i_Ver22,Eagle,AA2K021060847,,HTTP1,28,93,100,93,,,Staytite,Elmdale Maintenance,Elmdale Maintenance,2025.10.06 10:34:58,,,,,,,
GB500,A79M321002251,ineo+458_Ver42,ZeusS,A79M321002251,,HTTP1,49,31,2,63,,,Howden Insurance (C&LC),Elmdale Maintenance,Elmdale Maintenance,2025.10.06 10:33:58,,,,,,,
GB500,A79M321002252,ineo+458_Ver42,ZeusS,A79M321002252,,HTTP1,75,74,39,22,,,Howden Insurance (C&LC),Elmdale Maintenance,Elmdale Maintenance,2025.10.06 10:33:58,,,,,,,
GB500,A93E021275181,bizhub C3350i_Ver22,Sparrow_MFP,A93E021275181,,HTTP1,33,13,64,88,,,Crescent,Elmdale Maintenance,Elmdale Maintenance,2025.10.06 10:33:58,,,2025.06.25 5:01:13,2025.03.14 13:59:15,2025.05.30 8:43:44,2025.09.09 6:11:23,
GB500,A93E321200258,ineo+3350i_Ver23,Sparrow_MFP,A93E321200258,,HTTP1,27,14,32,17,,,Davies Blunden & Evans,Elmdale Maintenance,Elmdale Maintenance,2025.10.06 10:33:58,,,2025.04.10 9:44:47,,,,
GB500,AAJN021216502,bizhub C4050i_Ver23,Sparrow_MFP,AAJN021216502,,HTTP1,93,24,30,32,,,Howden Insurance (C&LC),Elmdale Maintenance,Elmdale Maintenance,2025.10.06 10:33:58,,,2025.10.01 7:31:10,,,,
