CenterID,DeviceID,Serial Number,Model,Code Name,Server received date,Total,Duplex:Total,Manuscript,Discharge,Copy:Total,Copy:Black,Copy:Full Color,Copy:Mono Color,Copy:2C Color,Copy:Total Large,Copy:Black Large,Copy:Full Color Large,Copy:Mono Color Large,Copy:2C Color Large,Printer:Total,Printer:Black,Printer:Full Color,Printer:2C Color,Printer:Total Large,Printer:Black Large,Printer:Full Color Large,Printer:2C Color Large,Scanner/FAX:Scan,Scanner/FAX:Scan Large,Scanner/FAX:Print,Scanner/FAX:Print Large,FAX:Send,FAX:Receive,Full Color:Total,Black:Total,2C Color:Total,Scanner/FAX:Print(Black),Scanner/FAX:Print Large(Black),Scanner/FAX:Print(Full Color),Scanner/FAX:Print Large(Full Color),W Count Setting,Billing total,Billing total(Color),Billing total(Black),Customer,Department,Service Office,SE,Meter A,Meter B,Meter C,Device Host Name,Device Location,Special Color,Special Color: Total,Copy:Special,Printer:Special
GB500,A4FM321001082,A4FM321001082,ineo+224e_4th,ZeusMLK,2025.03.10 10:16:16,214062,58182,209583,144424,79041,69682,9246,36,77,3861,3423,435,2,1,135021,72414,62550,57,7595,688,6906,1,7747,243,0,0,0,0,71796,142096,134,0,0,0,0,1,44047,29041,15006,Parasol Project,,Elmdale Maintenance,,,,,,,,,,
GB500,A4Y4321002996,A4Y4321002996,ineo+3350_Ver35,Venus,2024.09.30 10:18:28,125622,7120,,118535,23647,16877,6770,,,0,0,0,,,101975,39840,62135,,0,0,0,,2733,0,0,0,0,0,68905,56717,,0,0,0,0,1,125622,68905,56717,Park House,,Elmdale Maintenance,,,,,,,,,,
GB500,A5AY321000173,A5AY321000173,ineo+554e_5th,ZeusMLK,2025.05.23 9:40:11,777931,27642,861898,740242,212285,191757,20516,8,4,5456,4093,1363,0,0,565193,114333,450849,11,4385,451,3931,3,110232,1269,453,206,0,0,471810,306098,15,8,4,445,202,1,768022,466412,301610,John Stacey,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C0321000011,A5C0321000011,ineo+454e_5th,ZeusMLK,2025.01.09 10:07:57,1177927,432968,1156181,718351,95571,75716,19846,5,4,2046,1254,791,0,1,1082356,552642,529537,177,24562,9942,14614,6,107545,2457,0,0,0,0,549383,628358,181,0,0,0,0,1,959772,478917,480855,Elmdale Maintenace (Stock),,Elmdale Maintenance,,,,,,,,,,
GB500,A5C1321000168,A5C1321000168,ineo+364e_5th,ZeusMLK,2025.10.06 10:14:00,659888,143930,657229,509225,127928,121984,5938,4,2,953,691,261,1,0,531955,337770,194095,90,5780,3076,2703,1,142922,3085,5,0,0,0,200033,459759,92,5,0,0,0,1,567668,187715,379953,Elmdale Maintenace (Stock),,Elmdale Maintenance,,,,,,,,,,
GB500,A5C1321000416,A5C1321000416,ineo+364e_5th,ZeusMLK,2025.03.12 9:10:24,750271,167845,786311,524352,192996,159788,33207,1,0,3583,2158,1425,0,0,557275,236379,320858,38,54491,23991,30491,9,45335,892,0,0,0,0,354065,396167,38,0,0,0,0,1,692344,322337,370007,2D Print World (2DPR01),,Elmdale Maintenance,,,,,,,,,,
GB500,A5C1321000699,A5C1321000699,ineo+364e_5th,ZeusMLK,2025.10.10 9:29:16,455482,138861,483462,294336,7615,5290,2319,0,6,495,262,231,0,2,447867,162032,285688,147,21790,3535,18255,0,12601,691,0,0,0,0,288007,167322,153,0,0,0,0,1,433158,269703,163455,Goose,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C1321000780,A5C1321000780,ineo+364e_5th,ZeusMLK,2025.10.09 9:22:01,607354,114248,603072,483996,276804,230784,46012,3,5,6556,5019,1535,0,2,330393,247864,82482,47,2554,1142,1412,0,10963,164,157,0,401,123,128494,478805,52,157,0,0,0,1,597457,125602,471855,Valeo Foods,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C1321001060,A5C1321001060,ineo+364e_5th,ZeusMLK,2025.10.09 14:04:15,352061,40522,274365,230678,31328,22196,9019,1,112,3053,2297,722,0,34,320731,96821,223743,167,77808,14797,62988,23,34630,10073,2,0,0,0,232762,119019,279,2,0,0,0,1,271195,169283,101912,Mitchell Eley Gould,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C2321000275,A5C2321000275,ineo+284e,ZeusMLK,2025.08.20 9:43:08,131770,28080,132188,102847,13185,11818,1359,2,6,87,78,9,0,0,118585,32985,85600,0,756,281,475,0,42924,373,0,0,0,0,86959,44803,6,0,0,0,0,1,,,,Precisely Software Ltd,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C2321001283,A5C2321001283,ineo+284e_5th,ZeusMLK,2024.09.27 10:14:39,455928,38714,456060,416649,30944,29769,1140,8,27,113,110,3,0,0,424956,307332,117613,11,452,317,135,0,11053,41,28,0,27,155,118753,337129,38,28,0,0,0,1,426669,116911,309758,Elmdale Maintenace (Stock),,Elmdale Maintenance,,,,,,,,,,
GB500,A5C2321001293,A5C2321001293,ineo+284e_5th,ZeusMLK,2025.01.09 10:03:55,938242,254759,920247,662022,151158,143749,7381,1,27,2052,1648,403,0,1,786938,622660,163947,331,19409,11318,8090,1,158332,3934,146,0,354,4611,171328,766555,358,146,0,0,0,1,722715,140490,582225,Elmdale Maintenace (Stock),,Elmdale Maintenance,,,,,,,,,,
GB500,A5C2321001328,A5C2321001328,ineo+284e_2nd,ZeusMLK,2025.10.07 10:20:38,474583,179986,467890,283782,26501,21463,4996,7,35,1173,686,475,0,12,448082,331736,116286,60,9642,4040,5601,1,74473,5390,0,0,0,0,121282,353199,95,0,0,0,0,1,,,,Elmdale Maintenace (Stock),,Elmdale Maintenance,,,,,,,,,,
GB500,A5C2321001455,A5C2321001455,ineo+284e_5th,ZeusMLK,2025.10.09 15:44:11,452920,48349,454298,402930,15928,14372,1554,1,1,82,73,9,0,0,436981,367288,69587,106,1559,1034,523,2,581497,31661,11,0,25,5,71141,381671,107,11,0,0,0,1,451196,70717,380479,Seldram Supplies,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C2321002115,A5C2321002115,ineo+284e_5th,ZeusMLK,2025.10.09 9:12:55,245074,49647,243326,192707,66097,61901,4187,3,6,202,141,60,0,1,178966,67235,111334,397,2518,937,1565,16,249293,3160,11,0,0,0,115521,129147,403,11,0,0,0,1,242429,114332,128097,Pest Force,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C2321002878,A5C2321002878,ineo+284e,ZeusMLK,2025.10.10 10:18:28,224021,33300,208756,173935,18686,8906,9765,0,15,4138,604,3534,0,0,205335,106696,98458,181,12648,3194,9443,11,31033,1014,0,0,0,0,108223,115602,196,0,0,0,0,1,,,,Valeo Foods,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C2321003452,A5C2321003452,ineo+284e_5th,ZeusMLK,2025.10.10 9:16:44,602994,145540,485116,339340,14750,9995,4706,19,30,1563,1019,538,2,4,588244,93035,495209,0,116551,6725,109826,0,85388,8837,0,0,0,0,499915,103030,30,0,0,0,0,1,483834,389617,94217,Southern Maintenance Solutions,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C2321003743,A5C2321003743,ineo+284e_5th,ZeusMLK,2025.10.07 10:14:49,410073,70368,410568,334588,89815,85433,3898,465,19,849,600,248,0,1,319670,208745,110845,80,4268,1613,2653,2,119683,767,588,0,9618,1,114743,294766,99,588,0,0,0,1,404844,112405,292439,Claremont Surgery,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C2321004595,A5C2321004595,ineo+284e_5th,ZeusMLK,2025.10.09 9:15:54,775029,177779,757910,570602,285360,275508,9838,0,14,9248,9140,108,0,0,489669,421721,67581,367,17400,15306,2094,0,40632,819,0,0,0,0,77419,697229,381,0,0,0,0,1,748282,75617,672665,Valeo Foods,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C4121005120,A5C4121005120,ineo+224e_5th,ZeusMLK,2025.10.01 10:08:57,166450,21892,162271,129292,11298,6881,4417,0,0,849,432,417,0,0,155152,117193,37955,4,14417,12372,2045,0,12116,478,0,0,0,0,42372,124074,4,0,0,0,0,1,57168,38052,19116,Town & Manor Of Hungerford,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C4321000483,A5C4321000483,ineo+224e_5th,ZeusMLK,2024.06.12 9:05:31,609950,101535,601558,497172,78930,42460,36425,3,42,1202,533,669,0,0,531020,265048,265734,238,10041,2906,7084,51,151748,783,0,0,0,0,302159,307508,280,0,0,0,0,1,379037,186346,192691,Valeo Foods,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C4321000904,A5C4321000904,ineo+224e_5th,ZeusMLK,2025.10.10 10:08:27,729970,79714,727030,641584,247033,191695,54798,15,525,4217,2815,1400,2,0,482932,298798,183836,298,4455,1775,2680,0,12818,437,5,0,0,0,238634,490498,823,5,0,0,0,1,665315,199727,465588,John Rankin,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C4321101089,A5C4321101089,ineo+224e_5th,ZeusMLK,2025.10.10 9:17:49,160877,45509,156263,110461,32190,27325,4821,0,44,1011,422,589,0,0,128671,89847,38729,95,3896,1332,2548,16,23888,634,16,0,12,60,43550,117188,139,16,0,0,0,1,155915,40536,115379,Holden Management Services,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C4321102554,A5C4321102554,ineo+224e_5th,ZeusMLK,2025.10.09 10:07:07,184307,19797,183606,163386,17723,15369,2354,0,0,99,70,29,0,0,166584,101575,65009,0,1025,162,863,0,83561,128,0,0,0,0,67363,116944,0,0,0,0,0,1,183112,66473,116639,Pareto,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C4321103496,A5C4321103496,ineo+224e_4th,ZeusMLK,2025.10.10 9:18:48,304252,56390,299522,242582,7618,6507,1111,0,0,245,165,80,0,0,296634,148004,148064,566,5035,1938,3018,79,19362,265,0,0,0,0,149175,154511,566,0,0,0,0,1,298958,146569,152389,Valeo Foods,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C4321103609,A5C4321103609,ineo+224e_5th,ZeusMLK,2025.06.25 9:25:06,522412,70144,515404,441825,55119,37237,17864,7,11,561,414,146,0,1,467293,173597,293488,208,9882,2286,7589,7,31280,477,0,0,0,0,311352,210834,219,0,0,0,0,1,511917,303880,208037,Valeo Foods,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C4321103651,A5C4321103651,ineo+224e_5th,ZeusMLK,2025.10.09 16:36:10,139291,12038,147693,125510,29978,18883,11034,5,56,1342,413,929,0,0,109313,57485,51819,9,401,30,371,0,953,3,0,0,0,0,62853,76368,65,0,0,0,0,1,137553,61631,75922,Shaw Social Club,,Elmdale Maintenance,,,,,,,,,,
GB500,A5C4321104996,A5C4321104996,ineo+224e_5th,ZeusMLK,2025.10.10 10:33:28,157983,35255,163161,120058,29404,23664,5667,69,4,962,734,225,3,0,128579,54020,74550,9,1708,738,968,2,6610,132,0,0,0,0,80217,77684,13,0,0,0,0,1,155312,79123,76189,Vine Church,,Elmdale Maintenance,,,,,,,,,,
GB500,A798325101040,A798325101040,ineo+227_Ver42,Helios,2025.10.10 9:15:24,113648,32135,112182,78787,17045,10726,6278,0,41,483,260,207,0,16,96603,58273,38283,47,2243,898,1338,7,12954,57,0,0,0,0,44561,68999,88,0,0,0,0,1,110887,43081,67806,Hungerford Town Council,,Elmdale Maintenance,,,,,,,,,,
GB500,A798325101732,A798325101732,367,Poseidon,2024.01.29 10:27:54,87583,23969,83722,59539,38265,18563,14900,56,4746,4052,293,3759,0,0,49318,5027,44291,0,23,0,23,0,11923,51,0,0,0,0,59191,23590,4746,0,0,0,0,1,83473,60190,23283,West Berks Mencap,,Elmdale Maintenance,,,,,,,,,,
GB500,A79J321000019,A79J321000019,ineo+658_Ver42,ZeusS,2025.06.05 10:46:23,789463,258916,813147,526192,304159,266799,35962,60,1338,1931,1709,205,1,16,485294,337576,147349,369,2419,1264,1148,7,313298,3431,10,5,0,0,183311,604385,1707,10,5,0,0,1,784871,183762,601109,College Of Integrated Chinese Medicine,,Elmdale Maintenance,,,,,,,,,,
GB500,A79J321000048,A79J321000048,ineo+658_Ver42,ZeusS,2025.09.13 10:03:23,1448609,516491,1445307,920694,105261,73468,31788,0,5,3121,837,2284,0,0,1343344,916146,426960,238,8303,3157,5143,3,471117,10294,4,0,0,0,458748,989618,243,4,0,0,0,1,1436388,451392,984996,Allmakes PR2 4x4 Limited,,Elmdale Maintenance,,,,,,,,,,
GB500,A79J321000050,A79J321000050,ineo+658_Ver42,ZeusS,2025.10.10 9:18:48,1769929,348644,1761509,1407514,181594,144169,37415,0,10,4473,1669,2804,0,0,1586004,1289913,295593,498,9298,2006,7285,7,747228,19061,2331,0,5526,20,333008,1436413,508,2331,0,0,0,1,1755661,323474,1432187,Allmakes PR2 4x4 Limited,,Elmdale Maintenance,,,,,,,,,,
GB500,A79J321000056,A79J321000056,ineo+658_Ver42,ZeusS,2025.06.23 9:50:32,1775277,551307,1812330,1119271,977114,708381,268454,16,263,61359,31153,30186,4,16,798163,369784,428379,0,43340,9043,34297,0,39909,611,0,0,0,0,696833,1078165,263,0,0,0,0,1,1669531,632139,1037392,Priorsfield School,,Elmdale Maintenance,,,,,,,,,,
GB500,A79J321000130,A79J321000130,ineo+658_Ver42,ZeusS,2025.10.09 10:10:08,633289,113154,612966,492054,227946,185064,42819,4,59,20445,18802,1643,0,0,405343,192452,212822,69,7636,3498,4138,0,3524,65,0,0,0,0,255641,377516,128,0,0,0,0,1,605253,250017,355236,Uplands,,Elmdale Maintenance,,,,,,,,,,
GB500,A79J321000136,A79J321000136,ineo+658_Ver42,ZeusS,2024.08.09 10:09:05,1404514,284650,1370732,991606,715887,566801,148832,17,237,115198,96838,18265,4,91,688627,399813,288060,754,13060,5640,7412,8,4185,503,0,0,0,0,436892,966614,991,0,0,0,0,1,1277392,412648,864744,Pyrford,,Elmdale Maintenance,,,,,,,,,,
GB500,A79J321000141,A79J321000141,ineo+658_Ver42,ZeusS,2025.09.22 9:03:00,76406,11506,76072,63561,3767,2955,812,0,0,32,28,4,0,0,72639,15668,56968,3,1307,207,1100,0,19923,63,0,0,0,0,57780,18623,3,0,0,0,0,1,75066,56679,18387,Elmdale Maintenace (Stock),,Elmdale Maintenance,,,,,,,,,,
GB500,A79J321000144,A79J321000144,ineo+658_Ver42,ZeusS,2025.10.09 10:09:09,997541,152582,983038,804745,318855,232971,85804,5,75,21300,13416,7851,0,33,678686,356720,321825,141,18914,6628,12269,17,15278,225,0,0,0,0,407629,589691,216,0,0,0,0,1,957413,387827,569586,Pyrford,,Elmdale Maintenance,,,,,,,,,,
GB500,A79J321000147,A79J321000147,ineo+658_Ver42,ZeusS,2025.10.09 10:06:07,933539,170164,908356,705288,355429,257501,97710,36,182,47770,30453,17316,1,0,578110,332673,245311,126,10317,4877,5440,0,2299,300,0,0,0,0,343021,590174,308,0,0,0,0,1,875317,320486,554831,Pyrford,,Elmdale Maintenance,,,,,,,,,,
